key,label
DIGITAL_I10,"Consumer protection in e-commerce"
DIGITAL_I11,"Cybersecurity"
TRANSPORT_I01,"Transport vision"
TRANSPORT_I02,"Transport project selection"
TRANSPORT_I03,"Implementation and procurement"
TRANSPORT_I04,"Asset management"
TRANSPORT_I05,"Regulation of transport modes"
TRANSPORT_I06,"Regional transport connectivity"
TRANSPORT_I07,"Combined transport"
TRANSPORT_I08,"Smart transport"
TRANSPORT_I09,"Environmental sustainability"
TRANSPORT_I10,"Fair and safe transport system"
ENERGY_I01,"Legal and institutional framework"
ENERGY_I02,"Energy regulator"
ENERGY_I03,"Crisis response and resilience"
ENERGY_I04,"Diversification of energy supply"
ENERGY_I05,"Energy sector decarbonisation "
ENERGY_I06,"Renewable energy policy"
ENERGY_I07,"Energy efficiency policy"
ENERGY_I08,"Energy poverty"
ENERGY_I09,"Market operations"
ENERGY_I10,"Unbundling and third-party access rules"
ENERGY_I11,"Regional market integration"
ENVIRONMENT_I01,"Climate change mitigation"
ENVIRONMENT_I02,"Climate change adaptation"
ENVIRONMENT_I03,"Sustainable resource use, production and consumption"
ENVIRONMENT_I04,"Waste management"
ENVIRONMENT_I05,"Freshwater management"
ENVIRONMENT_I06,"Biodiversity and forestry management"
ENVIRONMENT_I07,"Land-use management"
ENVIRONMENT_I08,"Air quality"
ENVIRONMENT_I09,"Water supply and sanitation"
ENVIRONMENT_I10,"Industrial risk management"
AGRICULTURE_I01,"Rural infrastructure policy framework"
AGRICULTURE_I02,"Rural livelihoods"
AGRICULTURE_I03,"Irrigation policy framework and system"
AGRICULTURE_I04,"Agricultural policy framework"
AGRICULTURE_I05,"Producer support instruments"
AGRICULTURE_I06,"Research, innovation, technology transfer and digitalisation (RITTD)"
AGRICULTURE_I07,"Food safety, animal and plant health"
AGRICULTURE_I08,"Food quality"
TOURISM_I01,"Tourism governance"
TOURISM_I02,"Vertical co-operation and information sharing"
TOURISM_I03,"Public-private dialogue"
TOURISM_I04,"Data collection"
TOURISM_I05,"Connectivity framework"
TOURISM_I06,"Accommodation capacity and quality"
TOURISM_I07,"Availability of qualified workforce"
TOURISM_I08,"Tourism branding and marketing"
TOURISM_I09,"Natural and cultural heritage valorisation framework"
TOURISM_I10,"Promotion of sustainable development and operations"
