key,economy,year,score
ANTI_CORRUPTION,ALB,2018,1.8
ANTI_CORRUPTION,ALB,2021,2.1
ANTI_CORRUPTION,ALB,2024,3.19
ANTI_CORRUPTION,BIH,2018,1.7
ANTI_CORRUPTION,BIH,2021,2
ANTI_CORRUPTION,BIH,2024,1.45
ANTI_CORRUPTION,KOS,2018,1.6
ANTI_CORRUPTION,KOS,2021,1.8
ANTI_CORRUPTION,KOS,2024,2.08
ANTI_CORRUPTION,MNE,2018,2.7
ANTI_CORRUPTION,MNE,2021,3.6
ANTI_CORRUPTION,MNE,2024,2.85
ANTI_CORRUPTION,MKD,2018,2.4
ANTI_CORRUPTION,MKD,2021,2.9
ANTI_CORRUPTION,MKD,2024,2.85
ANTI_CORRUPTION,SRB,2018,2.6
ANTI_CORRUPTION,SRB,2021,2.9
ANTI_CORRUPTION,SRB,2024,2.88
ANTI_CORRUPTION,WB6_AVG,2018,2.1
ANTI_CORRUPTION,WB6_AVG,2021,2.5
ANTI_CORRUPTION,WB6_AVG,2024,2.55
EDUCATION,ALB,2018,2.4
EDUCATION,ALB,2021,3.3
EDUCATION,ALB,2024,3.61
EDUCATION,BIH,2018,1.8
EDUCATION,BIH,2021,2.1
EDUCATION,BIH,2024,1.78
EDUCATION,KOS,2018,2.5
EDUCATION,KOS,2021,3.2
EDUCATION,KOS,2024,3.22
EDUCATION,MNE,2018,2.8
EDUCATION,MNE,2021,3.2
EDUCATION,MNE,2024,3.22
EDUCATION,MKD,2018,2.8
EDUCATION,MKD,2021,2.9
EDUCATION,MKD,2024,2.89
EDUCATION,SRB,2018,2.5
EDUCATION,SRB,2021,3.2
EDUCATION,SRB,2024,3.11
EDUCATION,WB6_AVG,2018,2.5
EDUCATION,WB6_AVG,2021,3
EDUCATION,WB6_AVG,2024,2.97
EMPLOYMENT,ALB,2018,2.6
EMPLOYMENT,ALB,2021,2.8
EMPLOYMENT,ALB,2024,3.46
EMPLOYMENT,BIH,2018,2
EMPLOYMENT,BIH,2021,2
EMPLOYMENT,BIH,2024,2.19
EMPLOYMENT,KOS,2018,1.5
EMPLOYMENT,KOS,2021,1.6
EMPLOYMENT,KOS,2024,2.04
EMPLOYMENT,MNE,2018,2.1
EMPLOYMENT,MNE,2021,3
EMPLOYMENT,MNE,2024,3.38
EMPLOYMENT,MKD,2018,2.3
EMPLOYMENT,MKD,2021,3.3
EMPLOYMENT,MKD,2024,3.08
EMPLOYMENT,SRB,2018,2.5
EMPLOYMENT,SRB,2021,2.8
EMPLOYMENT,SRB,2024,3.26
EMPLOYMENT,WB6_AVG,2018,2.2
EMPLOYMENT,WB6_AVG,2021,2.6
EMPLOYMENT,WB6_AVG,2024,2.9
INNOVATION,ALB,2018,1.3
INNOVATION,ALB,2021,1.8
INNOVATION,ALB,2024,2.39
INNOVATION,BIH,2018,1.3
INNOVATION,BIH,2021,1.3
INNOVATION,BIH,2024,1.41
INNOVATION,KOS,2018,1.1
INNOVATION,KOS,2021,1.3
INNOVATION,KOS,2024,1.67
INNOVATION,MNE,2018,1.8
INNOVATION,MNE,2021,2.4
INNOVATION,MNE,2024,2.94
INNOVATION,MKD,2018,2.1
INNOVATION,MKD,2021,2.4
INNOVATION,MKD,2024,2.83
INNOVATION,SRB,2018,2.1
INNOVATION,SRB,2021,3.1
INNOVATION,SRB,2024,3.56
INNOVATION,WB6_AVG,2018,1.6
INNOVATION,WB6_AVG,2021,2.1
INNOVATION,WB6_AVG,2024,2.46
DIGITAL,ALB,2018,2.9
DIGITAL,ALB,2021,2.5
DIGITAL,ALB,2024,2.73
DIGITAL,BIH,2018,1.6
DIGITAL,BIH,2021,1.7
DIGITAL,BIH,2024,1.69
DIGITAL,KOS,2018,2.2
DIGITAL,KOS,2021,2.3
DIGITAL,KOS,2024,2.55
DIGITAL,MNE,2018,2.4
DIGITAL,MNE,2021,2.7
DIGITAL,MNE,2024,2.55
DIGITAL,MKD,2018,2.3
DIGITAL,MKD,2021,2.4
DIGITAL,MKD,2024,2.14
DIGITAL,SRB,2018,2.4
DIGITAL,SRB,2021,3
DIGITAL,SRB,2024,3.18
DIGITAL,WB6_AVG,2018,2.3
DIGITAL,WB6_AVG,2021,2.4
DIGITAL,WB6_AVG,2024,2.47
TRANSPORT,ALB,2018,2.7
TRANSPORT,ALB,2021,2.5
TRANSPORT,ALB,2024,2.84
TRANSPORT,BIH,2018,1.2
TRANSPORT,BIH,2021,1.3
TRANSPORT,BIH,2024,1.53
TRANSPORT,KOS,2018,1.8
TRANSPORT,KOS,2021,1.4
TRANSPORT,KOS,2024,1.95
TRANSPORT,MNE,2018,1.6
TRANSPORT,MNE,2021,2.1
TRANSPORT,MNE,2024,2.5
TRANSPORT,MKD,2018,2
TRANSPORT,MKD,2021,1.8
TRANSPORT,MKD,2024,1.75
TRANSPORT,SRB,2018,2.6
TRANSPORT,SRB,2021,3
TRANSPORT,SRB,2024,2.77
TRANSPORT,WB6_AVG,2018,2
TRANSPORT,WB6_AVG,2021,2
TRANSPORT,WB6_AVG,2024,2.2
ENERGY,ALB,2018,1.9
ENERGY,ALB,2021,3.2
ENERGY,ALB,2024,3.46
ENERGY,BIH,2018,1.4
ENERGY,BIH,2021,2.1
ENERGY,BIH,2024,1.94
ENERGY,KOS,2018,2.3
ENERGY,KOS,2021,3
ENERGY,KOS,2024,3.27
ENERGY,MNE,2018,2.1
ENERGY,MNE,2021,3
ENERGY,MNE,2024,2.68
ENERGY,MKD,2018,1.6
ENERGY,MKD,2021,3.7
ENERGY,MKD,2024,3.5
ENERGY,SRB,2018,2.2
ENERGY,SRB,2021,3
ENERGY,SRB,2024,3.05
ENERGY,WB6_AVG,2018,1.9
ENERGY,WB6_AVG,2021,3
ENERGY,WB6_AVG,2024,2.97
ENVIRONMENT,ALB,2018,1.8
ENVIRONMENT,ALB,2021,1.9
ENVIRONMENT,ALB,2024,2.5
ENVIRONMENT,BIH,2018,1.3
ENVIRONMENT,BIH,2021,1.7
ENVIRONMENT,BIH,2024,1.91
ENVIRONMENT,KOS,2018,1.8
ENVIRONMENT,KOS,2021,2.1
ENVIRONMENT,KOS,2024,2.2
ENVIRONMENT,MNE,2018,1.8
ENVIRONMENT,MNE,2021,2.4
ENVIRONMENT,MNE,2024,2.4
ENVIRONMENT,MKD,2018,1.6
ENVIRONMENT,MKD,2021,2.3
ENVIRONMENT,MKD,2024,2.25
ENVIRONMENT,SRB,2018,2.1
ENVIRONMENT,SRB,2021,2.2
ENVIRONMENT,SRB,2024,2.5
ENVIRONMENT,WB6_AVG,2018,1.7
ENVIRONMENT,WB6_AVG,2021,2.1
ENVIRONMENT,WB6_AVG,2024,2.28
AGRICULTURE,ALB,2018,2.9
AGRICULTURE,ALB,2021,2.8
AGRICULTURE,ALB,2024,3.56
AGRICULTURE,BIH,2018,2.5
AGRICULTURE,BIH,2021,2
AGRICULTURE,BIH,2024,2.51
AGRICULTURE,KOS,2018,2.4
AGRICULTURE,KOS,2021,2.4
AGRICULTURE,KOS,2024,3.44
AGRICULTURE,MNE,2018,2.4
AGRICULTURE,MNE,2021,3.4
AGRICULTURE,MNE,2024,3.19
AGRICULTURE,MKD,2018,3
AGRICULTURE,MKD,2021,2.8
AGRICULTURE,MKD,2024,3.3
AGRICULTURE,SRB,2018,3.3
AGRICULTURE,SRB,2021,3.1
AGRICULTURE,SRB,2024,3.69
AGRICULTURE,WB6_AVG,2018,2.8
AGRICULTURE,WB6_AVG,2021,2.7
AGRICULTURE,WB6_AVG,2024,3.27
TOURISM,ALB,2018,1.9
TOURISM,ALB,2021,2.1
TOURISM,ALB,2024,2.8
TOURISM,BIH,2018,1.2
TOURISM,BIH,2021,1.2
TOURISM,BIH,2024,1.32
TOURISM,KOS,2018,1.3
TOURISM,KOS,2021,1.5
TOURISM,KOS,2024,2.26
TOURISM,MNE,2018,2
TOURISM,MNE,2021,3.1
TOURISM,MNE,2024,4.16
TOURISM,MKD,2018,1.5
TOURISM,MKD,2021,1.5
TOURISM,MKD,2024,1.95
TOURISM,SRB,2018,2.1
TOURISM,SRB,2021,2.3
TOURISM,SRB,2024,2.8
TOURISM,WB6_AVG,2018,1.7
TOURISM,WB6_AVG,2021,2
TOURISM,WB6_AVG,2024,2.54
